ID	Category	Name	Priority	Price	Description	exclusivePlan	2 Surface	3 Surface	4 Surface	5 Surface	1
EMERGENCY_CONS	General Dentistry	Emergency Pain Appointment	TRUE	100	Same-day appointment for urgent dental pain.	False					
INITIAL_CONS	General Dentistry	New Patient Examination	TRUE	75	Comprehensive assessment for new patients including necessary x-rays.	True					
	General Dentistry	Routine Dental Examination	TRUE	45	Regular check-up including all necessary x-rays.	True					1
	Hygiene Therapy	Hygiene Maintenance/Appointment	TRUE	90	Routine cleaning and hygiene maintenance.	Included in Plan					
	Hygiene Therapy	Diamond Clean (Airflow)	TRUE	100	Airflow cleaning for stain and plaque removal.	80.00					
	Hygiene Therapy	Hygiene With Periodontal Treatment	TRUE	90	Hygiene session including periodontal care.	70.00					
	Hygiene Therapy	Hygiene Implant Maintenance	TRUE	80	Maintenance cleaning around dental implants.	60.00					
	Hygiene Therapy	Advanced Periodontal Treatment (1 Hour)	FALSE	140	In-depth periodontal treatment session for advanced cases.	110.00					1
	Fillings	Amalgam Filling	TRUE	100	Durable silver-colored filling commonly used in back teeth.	100.00	120	140	150	170	
	Fillings	Resin Modified Gic (Semi-Permanent)	TRUE	120	Semi-permanent filling using resin-modified glass ionomer cement.	100.00					
	Fillings	Anterior Composite	TRUE	200	Tooth-colored composite filling for front (anterior) teeth.	100.00					
	Fillings	Posterior Composite	TRUE	200	Tooth-colored composite filling for back (posterior) teeth.	100.00					
	Root Canal Treatment	Anterior Tooth	TRUE	450	Root canal treatment for front tooth (anterior).	360.00					
	Root Canal Treatment	Premolar Tooth	TRUE	550	Root canal treatment for premolar tooth.	440.00					
	Root Canal Treatment	Molar Tooth	TRUE	700	Root canal treatment for molar tooth (back tooth).	570.00					
	Oral Surgery	Simple Extraction	TRUE	125	Removal of a tooth with minimal complexity.	130.00					
	Oral Surgery	Surgical Extraction	TRUE	200	Tooth removal requiring surgical procedure.	170.00					
	Oral Surgery	Private Prescription	FALSE	20	Prescription issued privately for medications.	Included in Plan					
	Prosthetic Services	"Partial Acrylic Denture, Upper Or Lower"	TRUE	690	Removable acrylic denture for either upper or lower arch.	570.00					
	Prosthetic Services	Partial Flexible/Valplast Denture	TRUE	900	Flexible Valplast denture for comfort and aesthetics.	750.00					
	Prosthetic Services	"Partial Cobalt Chrome Denture, Upper Or Lower"	TRUE	1000	Durable cobalt chrome framework denture for upper or lower arch.	850.00					
	Prosthetic Services	"Acrylic Full Dentures, Upper Or Lower"	TRUE	750	Complete removable acrylic denture for either upper or lower jaw.	600.00     					
